id,age,gender,course,study_hours,class_attendance,internet_access,sleep_hours,sleep_quality,study_method,facility_rating,exam_difficulty,exam_score
933,23,female,bba,5.02,68.1,yes,5.7,average,mixed,medium,easy,79.4
934,22,female,ba,1.0,61.3,yes,7.8,average,group study,high,moderate,61.5
935,21,other,b.tech,0.1,88.8,yes,8.5,average,coaching,medium,moderate,42.7
936,21,other,b.com,4.38,92.0,yes,4.3,poor,group study,medium,easy,57.8
937,20,female,diploma,3.59,98.4,no,6.6,good,self-study,high,moderate,73.7
938,22,female,b.tech,6.14,87.0,yes,8.4,average,mixed,low,hard,72.2
939,24,male,b.tech,7.17,47.5,yes,9.3,poor,coaching,low,moderate,67.2
940,20,male,b.com,7.91,78.1,yes,8.7,good,coaching,high,moderate,100.0
941,22,other,bca,3.57,97.7,yes,7.6,poor,self-study,low,easy,62.5
942,19,other,b.sc,2.61,79.5,yes,6.2,poor,group study,high,moderate,49.4
943,18,other,ba,7.45,55.3,yes,5.1,average,self-study,low,moderate,68.8
944,19,female,b.sc,5.88,52.9,yes,4.6,average,online videos,high,moderate,52.1
945,17,other,bca,2.2,68.7,yes,5.2,good,online videos,high,easy,70.1
946,21,male,b.com,5.71,80.9,yes,9.5,good,coaching,low,easy,74.0
947,20,male,ba,7.4,59.9,yes,5.9,poor,coaching,high,easy,60.2
948,18,male,b.sc,0.24,41.3,yes,4.2,poor,mixed,low,hard,19.599
949,23,male,diploma,2.88,96.9,yes,8.8,poor,self-study,low,easy,45.0
950,20,other,b.tech,3.27,69.5,yes,5.2,average,group study,medium,hard,48.2
951,17,male,b.tech,0.08,48.4,yes,5.4,good,self-study,high,moderate,22.5
952,19,other,b.sc,6.39,88.7,yes,8.6,average,coaching,low,easy,92.3
953,18,female,bba,3.42,93.6,yes,6.0,average,online videos,medium,moderate,77.0
954,17,other,ba,5.64,88.9,yes,4.4,average,online videos,high,moderate,74.6
955,18,male,bca,0.64,87.9,yes,5.9,poor,group study,low,moderate,44.6
956,23,male,bca,5.64,98.8,yes,8.8,good,self-study,medium,moderate,83.8
957,18,male,b.com,0.92,98.3,yes,9.3,poor,group study,medium,moderate,46.7
958,18,male,bba,2.34,75.1,yes,6.3,good,mixed,medium,hard,59.9
959,21,male,b.com,1.22,42.8,yes,4.7,good,mixed,medium,moderate,42.5
960,18,female,bba,7.46,57.3,no,9.1,good,coaching,medium,moderate,97.2
961,21,female,b.tech,6.23,85.4,yes,7.3,good,mixed,medium,moderate,88.1
962,22,other,bca,2.87,60.7,yes,8.3,good,coaching,low,moderate,54.6
963,20,other,b.tech,5.56,69.3,yes,7.7,average,mixed,medium,easy,77.4
964,20,male,b.com,5.35,47.7,yes,4.5,poor,mixed,low,easy,56.5
965,17,male,bca,2.14,69.7,yes,7.5,poor,mixed,medium,hard,47.5
966,18,other,b.sc,1.05,72.1,yes,9.6,average,coaching,medium,moderate,49.6
967,21,female,ba,7.91,83.8,yes,9.4,good,mixed,medium,easy,100.0
968,18,female,bca,5.23,78.0,yes,9.8,average,group study,medium,hard,73.1
969,17,female,bca,1.06,57.1,yes,7.6,good,group study,medium,moderate,42.5
970,18,other,bca,2.48,88.1,yes,8.4,good,group study,high,easy,55.1
971,22,other,b.sc,0.51,52.1,yes,8.8,poor,mixed,low,moderate,27.9
972,24,other,b.tech,7.62,66.6,yes,9.3,average,mixed,medium,moderate,78.3
973,20,male,bca,1.53,89.5,yes,4.2,good,online videos,medium,moderate,50.2
974,19,male,b.com,4.77,61.0,yes,9.6,poor,group study,low,easy,52.9
975,22,male,bca,5.26,82.0,yes,8.5,average,mixed,high,easy,78.6
976,23,female,b.tech,1.92,79.4,yes,5.1,average,mixed,medium,moderate,54.6
977,20,other,bca,7.27,51.8,yes,8.0,poor,self-study,medium,moderate,69.8
978,19,female,b.com,5.39,59.6,yes,9.6,poor,coaching,high,easy,98.0
979,21,male,bca,3.98,81.4,yes,8.9,good,coaching,low,easy,82.6
980,24,other,bca,7.12,84.7,yes,5.4,poor,coaching,low,moderate,76.8
981,19,male,diploma,0.63,99.4,yes,4.4,good,self-study,low,hard,57.5
982,18,other,ba,7.91,88.4,yes,4.8,good,group study,low,easy,100.0
983,22,other,bca,1.75,76.0,yes,9.9,average,online videos,low,easy,39.9
984,20,male,bba,7.71,50.0,yes,9.8,good,mixed,high,easy,75.9
985,24,male,bca,4.75,94.6,no,9.9,average,self-study,medium,hard,62.1
986,23,other,ba,5.88,86.0,yes,7.9,average,mixed,low,easy,83.4
987,22,other,b.com,1.98,68.0,yes,9.9,good,mixed,high,hard,53.2
988,19,other,b.sc,0.59,66.3,yes,9.7,good,group study,medium,moderate,36.9
989,19,other,diploma,5.14,59.8,yes,9.0,good,coaching,high,moderate,79.7
990,20,male,bca,1.32,41.7,yes,5.6,poor,group study,high,easy,24.0
991,18,other,b.tech,3.96,90.5,yes,5.2,good,self-study,high,moderate,79.1
992,17,other,b.com,7.91,54.4,yes,6.1,good,self-study,high,hard,87.2
993,22,other,bca,3.73,78.9,yes,6.6,average,mixed,low,hard,59.5
994,21,male,diploma,4.61,71.5,yes,6.8,poor,coaching,low,moderate,54.2
995,22,female,b.sc,4.79,44.6,yes,6.1,average,coaching,high,moderate,61.7
996,24,male,b.com,6.4,57.9,yes,9.7,good,coaching,medium,moderate,69.7
997,17,male,b.com,0.08,92.3,yes,5.3,good,coaching,high,hard,46.9
998,22,other,ba,6.25,69.4,yes,7.7,average,self-study,low,moderate,68.4
999,23,other,bca,5.01,66.9,yes,9.9,good,mixed,low,moderate,61.2
1000,21,female,bca,6.3,55.4,yes,5.2,average,coaching,medium,moderate,89.7
1001,24,male,b.sc,4.29,52.6,yes,5.4,average,coaching,high,moderate,66.1
1002,17,female,b.com,2.27,93.0,no,6.6,poor,self-study,high,moderate,64.9
1003,17,male,bba,4.57,63.7,yes,6.4,average,coaching,medium,easy,64.6
1004,23,other,b.com,5.76,77.4,yes,7.3,average,group study,high,easy,86.1
1005,19,other,bca,1.89,78.6,yes,8.3,poor,group study,low,moderate,47.8
1006,21,female,b.com,2.47,76.8,yes,4.6,good,self-study,low,easy,44.0
1007,20,male,bca,3.15,91.8,yes,5.4,good,mixed,medium,easy,74.8
1008,23,female,b.tech,7.11,75.8,yes,7.7,average,self-study,low,easy,75.5
1009,21,female,b.com,2.7,81.0,yes,9.6,average,self-study,low,moderate,74.0
1010,24,other,b.tech,3.66,40.6,yes,7.3,average,self-study,low,moderate,50.3
1011,18,female,b.sc,4.76,77.8,yes,6.9,good,coaching,medium,moderate,93.6
1012,17,male,b.sc,4.9,94.0,yes,7.6,good,online videos,low,hard,78.6
1013,24,other,b.tech,0.08,99.4,yes,8.7,average,group study,low,moderate,57.1
1014,23,other,diploma,2.62,88.9,yes,9.9,average,group study,medium,moderate,61.5
1015,20,other,diploma,0.4,43.0,yes,7.2,poor,self-study,low,moderate,38.7
1016,18,male,diploma,5.1,96.2,yes,8.3,poor,mixed,medium,hard,78.1
1017,23,other,b.com,4.02,62.5,yes,8.6,good,self-study,medium,easy,72.2
1018,18,male,bba,0.59,54.4,yes,5.8,poor,coaching,low,moderate,52.1
1019,24,male,b.sc,6.09,63.3,yes,9.8,good,mixed,high,moderate,85.1
1020,19,female,diploma,2.62,43.3,yes,9.4,good,online videos,high,easy,57.0
1021,19,other,b.sc,4.57,71.9,yes,4.5,poor,coaching,medium,moderate,77.0
1022,21,male,b.tech,3.13,43.7,yes,9.6,average,self-study,high,hard,62.0
1023,23,male,diploma,7.89,77.0,yes,9.2,average,online videos,high,easy,78.5
1024,18,female,diploma,1.06,88.0,yes,8.2,average,group study,medium,moderate,57.0
1025,21,other,bca,3.69,77.9,yes,9.7,average,self-study,high,moderate,71.6
1026,24,other,bba,3.2,47.4,yes,6.6,average,self-study,high,moderate,49.0
1027,24,male,bca,2.1,60.1,yes,7.2,average,coaching,medium,easy,50.3
1028,17,female,b.tech,3.11,62.5,yes,7.4,poor,self-study,medium,moderate,31.4
1029,22,female,b.com,7.79,69.3,yes,9.2,poor,coaching,medium,moderate,69.1
1030,17,other,bca,5.67,72.7,no,9.9,good,group study,medium,hard,90.0
1031,24,male,b.sc,3.37,49.4,yes,4.8,average,coaching,medium,easy,65.9
1032,21,male,b.sc,5.86,65.0,yes,5.1,poor,online videos,low,moderate,65.1
1033,17,male,ba,7.87,50.9,yes,9.1,good,mixed,low,moderate,100.0
1034,19,male,b.sc,5.0,95.6,yes,7.5,good,mixed,medium,easy,86.8
1035,21,male,diploma,6.68,78.3,yes,5.7,poor,coaching,high,moderate,99.8
1036,24,male,bba,4.79,78.1,no,9.9,average,coaching,high,moderate,86.7
1037,17,female,b.com,0.26,94.2,yes,5.8,poor,coaching,low,hard,22.9
1038,19,female,ba,3.63,81.2,yes,5.1,good,coaching,high,moderate,67.6
1039,23,male,bba,3.04,70.3,yes,9.0,good,online videos,low,hard,51.3
1040,21,other,ba,4.69,89.4,yes,8.2,good,self-study,high,easy,82.6
1041,20,female,bca,0.96,78.0,no,4.6,poor,online videos,medium,moderate,49.8
1042,21,other,b.tech,4.94,92.5,yes,6.9,average,online videos,high,easy,72.1
1043,17,other,b.tech,5.35,86.9,yes,4.8,poor,mixed,high,moderate,77.0
1044,22,other,b.com,0.72,52.4,yes,6.6,good,mixed,low,moderate,28.9
1045,23,other,b.tech,1.75,53.5,yes,4.4,average,coaching,high,easy,49.9
1046,21,other,b.sc,5.22,74.0,yes,7.2,good,group study,low,moderate,66.9
1047,22,other,b.com,0.4,66.3,yes,9.6,good,mixed,low,hard,61.7
1048,22,other,bca,6.23,81.4,yes,7.9,good,group study,low,moderate,62.2
1049,23,female,b.sc,4.34,68.7,yes,4.8,poor,coaching,high,easy,52.6
1050,23,male,b.tech,6.42,53.8,yes,4.5,good,online videos,low,hard,44.8
1051,19,male,diploma,7.01,85.7,yes,6.0,poor,self-study,low,easy,74.6
1052,20,male,b.com,5.05,82.7,yes,8.6,poor,online videos,high,easy,73.6
1053,22,female,bba,7.16,45.1,yes,9.9,good,group study,high,moderate,81.0
1054,24,female,bca,1.16,53.9,yes,4.7,average,online videos,medium,easy,44.2
1055,17,male,bba,7.78,79.0,yes,6.0,good,coaching,high,easy,99.0
1056,20,other,b.sc,1.7,83.3,yes,4.3,poor,self-study,low,easy,45.7
1057,22,other,bba,1.9,99.4,yes,5.7,good,online videos,high,moderate,52.5
1058,22,male,diploma,0.18,52.6,yes,9.8,poor,online videos,medium,moderate,49.1
1059,21,other,b.sc,6.03,90.9,yes,7.1,average,mixed,low,moderate,78.4
1060,21,female,b.sc,7.6,97.5,no,8.9,good,online videos,high,moderate,93.3
1061,17,male,b.tech,3.67,50.2,yes,4.8,average,online videos,high,easy,46.8
1062,23,male,b.tech,6.7,73.7,yes,5.3,average,self-study,medium,moderate,68.2
1063,17,male,b.tech,2.46,96.2,no,6.1,good,coaching,medium,moderate,72.5
1064,18,male,b.sc,0.28,91.5,yes,6.4,average,self-study,low,moderate,23.1
1065,19,other,b.tech,4.62,99.2,no,8.0,poor,mixed,low,moderate,66.7
1066,24,male,bca,7.67,67.8,yes,9.0,good,coaching,high,moderate,100.0
1067,18,other,bba,6.99,87.0,yes,6.0,average,mixed,high,moderate,96.5
1068,24,female,bca,5.82,64.1,yes,4.1,average,coaching,high,moderate,85.7
1069,24,male,b.com,4.69,47.5,yes,6.6,average,group study,low,easy,44.0
1070,17,other,b.com,2.98,50.4,yes,6.2,poor,online videos,low,hard,19.599
1071,18,male,diploma,0.08,75.5,yes,9.2,poor,self-study,high,moderate,60.4
1072,19,female,b.sc,4.07,85.7,yes,8.3,good,self-study,low,moderate,64.0
1073,22,other,bca,2.22,46.8,yes,5.8,poor,coaching,high,easy,39.9
1074,20,other,diploma,3.6,95.3,yes,8.8,good,mixed,medium,easy,81.5
1075,19,male,b.tech,7.04,43.9,yes,6.9,poor,self-study,low,moderate,54.2
1076,17,male,b.tech,7.4,90.3,no,8.9,average,online videos,low,hard,96.7
1077,19,other,bba,7.91,71.9,yes,9.4,average,self-study,medium,moderate,64.2
1078,22,male,b.sc,7.0,97.4,yes,9.0,poor,coaching,medium,moderate,100.0
1079,18,female,diploma,2.71,50.8,yes,8.0,good,online videos,medium,moderate,44.7
1080,24,male,b.tech,3.17,41.7,yes,6.4,poor,coaching,medium,easy,45.9
1081,21,other,bba,3.73,77.2,yes,4.4,poor,self-study,high,moderate,59.3
1082,21,other,b.com,7.62,97.4,yes,6.1,average,coaching,high,moderate,100.0
1083,17,other,b.sc,0.36,58.7,yes,6.6,average,self-study,low,moderate,38.7
1084,23,female,b.tech,6.6,57.8,yes,7.8,good,mixed,low,moderate,63.7
1085,24,other,b.com,5.2,88.5,yes,4.9,good,coaching,low,moderate,92.3
1086,22,female,ba,5.23,66.4,yes,9.5,good,group study,medium,moderate,67.1
1087,23,female,b.com,6.94,95.0,yes,6.8,average,group study,medium,moderate,88.4
1088,21,male,bba,6.33,61.5,yes,7.7,average,coaching,low,easy,59.9
1089,19,other,b.tech,2.79,61.2,yes,8.7,good,self-study,medium,moderate,57.3
1090,22,female,b.com,3.98,77.7,yes,4.7,average,group study,high,moderate,64.7
1091,21,other,b.sc,2.14,68.8,yes,7.3,poor,mixed,low,moderate,39.8
1092,23,male,b.sc,5.07,80.0,yes,7.7,average,online videos,medium,moderate,76.8
1093,23,female,diploma,3.98,47.4,yes,6.8,good,online videos,medium,easy,51.4
1094,20,other,b.sc,3.62,99.2,yes,5.2,average,online videos,low,hard,72.6
1095,20,male,b.sc,2.85,88.1,yes,8.0,poor,coaching,medium,easy,57.9
1096,21,female,bba,3.59,76.7,yes,6.3,poor,self-study,medium,hard,44.6
1097,22,other,bca,3.77,51.3,yes,4.1,average,mixed,high,easy,58.5
1098,23,female,bca,2.21,86.4,yes,9.4,good,online videos,low,moderate,46.2
1099,21,female,bba,2.9,66.8,yes,6.1,poor,mixed,high,easy,60.6
1100,19,female,b.tech,2.4,76.4,no,8.9,good,self-study,low,moderate,48.2
1101,23,other,bca,3.35,62.0,yes,7.4,good,self-study,low,moderate,51.6
1102,24,other,b.tech,2.36,90.5,yes,8.7,good,mixed,low,moderate,66.7
1103,23,other,bba,2.81,46.0,yes,8.9,average,self-study,high,moderate,58.3
1104,24,other,bca,0.41,65.4,yes,7.5,average,coaching,high,hard,41.8
1105,18,male,bba,7.26,55.1,no,4.1,average,mixed,low,hard,62.5
1106,23,male,bba,7.57,80.8,yes,9.5,poor,self-study,high,moderate,95.8
1107,21,other,bba,2.78,72.0,yes,6.9,average,online videos,high,easy,52.8
1108,20,male,b.com,7.08,40.6,yes,4.5,good,self-study,low,moderate,52.7
1109,20,male,b.com,3.78,60.5,yes,6.0,poor,mixed,high,hard,45.6
1110,22,other,b.com,2.11,87.6,no,9.9,good,group study,low,hard,51.8
1111,21,other,b.tech,3.18,62.1,yes,6.5,poor,mixed,high,easy,59.3
1112,24,female,b.tech,5.33,46.5,yes,5.1,poor,coaching,high,easy,50.4
1113,20,other,bba,4.64,52.3,yes,8.8,good,mixed,low,hard,61.1
1114,24,other,b.sc,4.87,86.9,yes,7.8,poor,group study,low,moderate,50.7
1115,20,other,b.sc,3.35,77.9,yes,5.5,poor,online videos,medium,easy,52.6
1116,17,male,diploma,7.69,49.2,yes,7.8,good,group study,low,moderate,77.5
1117,19,male,bba,3.95,86.6,no,7.3,poor,mixed,low,moderate,64.3
1118,23,female,bba,3.78,78.3,yes,8.8,good,online videos,low,easy,56.6
1119,21,female,b.com,7.19,68.4,yes,4.2,poor,coaching,low,easy,92.5
1120,24,other,b.com,0.08,94.1,yes,9.9,average,online videos,high,easy,38.1
1121,22,female,diploma,1.58,99.4,yes,5.0,poor,online videos,high,hard,39.8
1122,22,male,diploma,7.46,98.1,yes,6.6,average,online videos,high,hard,90.6
1123,24,female,diploma,6.71,99.4,yes,6.2,poor,coaching,high,hard,100.0
1124,23,other,b.com,1.66,44.0,yes,9.9,good,mixed,high,moderate,51.1
1125,18,male,b.sc,2.72,46.3,yes,4.7,poor,group study,medium,moderate,41.6
1126,21,female,bca,5.29,59.3,yes,7.2,average,coaching,low,easy,79.0
1127,24,female,bba,4.79,49.8,yes,5.2,poor,mixed,low,easy,64.2
1128,20,male,b.sc,5.9,99.4,yes,7.6,average,self-study,high,moderate,82.1
1129,19,other,diploma,1.01,98.3,yes,8.1,poor,group study,medium,hard,58.0
1130,22,male,b.sc,7.33,99.4,yes,9.8,poor,mixed,low,easy,92.9
1131,19,other,diploma,6.5,78.7,yes,9.7,good,mixed,medium,hard,87.8
1132,22,other,b.com,2.09,64.6,yes,5.5,poor,mixed,medium,moderate,48.1
1133,17,female,bca,4.44,93.8,yes,5.0,poor,mixed,high,easy,72.3
1134,17,male,b.sc,5.02,70.1,yes,7.8,average,coaching,medium,moderate,91.0
1135,19,male,b.sc,7.31,44.9,yes,4.1,good,self-study,medium,moderate,70.4
1136,22,female,b.sc,6.16,44.1,yes,5.3,poor,group study,high,easy,51.5
1137,22,other,bba,7.86,80.5,yes,4.7,good,group study,medium,moderate,77.2
1138,20,other,b.com,3.25,46.4,yes,8.4,good,online videos,medium,moderate,46.7
1139,18,male,bba,3.19,86.4,no,7.3,average,self-study,medium,easy,82.4
1140,23,male,b.sc,1.1,52.2,yes,7.3,poor,group study,low,moderate,34.0
1141,24,male,b.sc,1.02,75.3,yes,6.1,poor,group study,high,moderate,61.2
1142,17,male,b.tech,1.79,93.0,no,8.6,poor,self-study,low,moderate,49.1
1143,19,female,ba,3.19,61.6,no,7.3,poor,mixed,high,moderate,55.4
1144,18,other,b.tech,5.5,90.8,yes,6.4,good,coaching,high,moderate,95.8
1145,19,male,b.com,5.88,70.6,yes,7.2,average,coaching,medium,moderate,90.1
1146,21,female,ba,1.0,79.3,yes,8.4,average,online videos,low,hard,46.9
1147,18,other,b.com,1.6,92.6,yes,9.9,good,mixed,medium,moderate,73.0
1148,18,female,ba,7.36,82.5,yes,8.7,good,mixed,medium,moderate,100.0
1149,24,male,diploma,1.64,46.8,yes,8.1,good,mixed,low,hard,47.7
1150,17,female,bca,4.66,67.5,yes,7.4,average,mixed,low,easy,73.7
1151,24,male,ba,0.81,75.0,yes,4.9,poor,self-study,high,moderate,38.4
1152,20,female,b.com,0.39,69.3,no,5.8,poor,self-study,low,moderate,19.599
1153,17,male,bba,5.91,57.2,yes,9.0,average,self-study,medium,easy,56.7
1154,22,female,bca,3.9,70.5,yes,9.5,good,coaching,medium,moderate,74.0
1155,18,other,bca,4.26,44.1,yes,4.9,good,coaching,low,easy,53.8
1156,17,male,ba,6.08,61.4,yes,5.4,good,mixed,medium,hard,89.7
1157,22,other,diploma,4.79,68.5,yes,5.4,poor,coaching,medium,moderate,66.1
1158,22,male,b.tech,6.5,66.4,yes,5.0,good,coaching,high,hard,69.1
1159,21,female,b.com,4.11,61.3,yes,4.3,good,self-study,high,moderate,48.3
1160,19,female,b.tech,6.72,76.6,yes,5.6,poor,mixed,high,moderate,90.5
1161,21,female,b.sc,5.68,60.4,yes,8.2,good,mixed,high,easy,69.9
1162,23,other,b.com,3.44,86.4,yes,5.1,poor,self-study,medium,moderate,43.5
1163,19,male,ba,4.87,75.8,yes,6.5,poor,coaching,high,easy,81.3
1164,21,male,b.sc,5.57,75.8,yes,6.0,poor,online videos,medium,easy,63.5
1165,22,male,bca,7.0,96.4,yes,9.7,poor,group study,low,hard,90.7
1166,19,female,bba,3.44,98.2,yes,5.1,poor,mixed,low,moderate,52.3
1167,21,other,diploma,0.48,70.2,no,7.0,good,self-study,high,moderate,44.1
1168,22,male,b.sc,0.68,70.8,yes,4.7,poor,self-study,high,moderate,28.0
1169,22,male,b.sc,5.34,98.2,yes,7.8,good,mixed,high,easy,97.3
1170,22,male,bca,1.88,98.1,yes,5.7,poor,coaching,high,hard,71.2
1171,17,male,b.com,2.12,48.8,yes,6.7,average,group study,high,moderate,28.0
1172,18,other,b.sc,6.72,89.2,yes,6.4,good,coaching,high,moderate,100.0
1173,18,other,b.tech,4.78,49.4,yes,7.4,average,self-study,high,moderate,43.1
1174,21,female,bba,3.24,42.1,yes,6.4,good,self-study,medium,easy,46.5
1175,22,female,bba,1.98,42.8,no,5.3,poor,group study,low,moderate,19.7
1176,21,female,bba,1.41,89.7,yes,8.5,good,self-study,medium,easy,51.6
1177,24,female,ba,7.44,44.9,yes,9.7,good,mixed,low,moderate,72.3
1178,18,male,b.com,2.94,67.5,yes,9.3,poor,mixed,low,moderate,50.2
1179,23,other,b.com,5.45,68.2,yes,7.1,average,mixed,medium,moderate,68.1
1180,17,female,b.sc,2.73,99.2,yes,5.3,poor,mixed,high,moderate,72.7
1181,19,other,bba,4.09,92.8,yes,5.0,good,group study,medium,moderate,74.2
1182,20,male,b.tech,0.91,99.4,yes,6.5,poor,coaching,high,moderate,57.8
1183,24,male,diploma,0.08,65.1,yes,5.3,poor,online videos,low,moderate,19.599
1184,17,male,b.sc,3.38,99.4,yes,6.5,poor,group study,high,moderate,48.8
1185,21,other,b.tech,3.3,67.3,no,6.7,good,mixed,medium,moderate,67.7
1186,22,male,b.tech,6.43,60.1,yes,4.4,good,online videos,low,hard,60.7
1187,20,other,b.tech,4.55,65.2,yes,6.8,poor,coaching,medium,easy,73.8
1188,20,female,b.tech,6.01,96.7,yes,9.3,good,coaching,low,moderate,100.0
1189,18,female,b.com,2.63,95.2,no,7.8,average,self-study,low,easy,50.4
1190,17,male,diploma,7.01,74.5,yes,6.9,good,coaching,low,hard,76.3
1191,24,other,ba,4.64,82.8,yes,7.6,average,mixed,high,easy,71.9
1192,17,male,ba,0.78,83.8,no,5.9,poor,online videos,high,moderate,56.5
1193,19,other,b.tech,1.16,49.6,yes,4.9,poor,self-study,medium,easy,37.4
1194,20,female,b.tech,4.05,43.7,yes,5.9,good,mixed,low,easy,68.3
1195,18,female,b.tech,0.64,54.9,yes,8.2,average,self-study,high,hard,42.1
1196,17,male,bca,5.21,82.5,yes,4.8,poor,online videos,medium,moderate,53.9
1197,22,female,b.sc,7.68,57.7,yes,9.4,poor,group study,medium,hard,88.6
1198,23,other,b.com,0.45,75.1,yes,8.1,average,mixed,high,easy,51.5
1199,19,female,bca,0.26,45.1,yes,4.8,good,coaching,high,moderate,51.9
1200,17,other,b.tech,5.36,95.3,yes,6.7,good,mixed,medium,moderate,82.9
1201,20,male,bba,7.05,80.3,yes,4.4,poor,group study,high,moderate,76.6
1202,23,male,bba,2.71,80.8,yes,9.4,poor,mixed,high,moderate,53.2
1203,23,other,ba,7.66,70.9,yes,8.5,good,mixed,medium,easy,91.1
1204,17,male,b.com,2.46,92.1,yes,8.1,good,mixed,medium,moderate,66.7
1205,24,other,diploma,0.68,85.9,yes,9.3,poor,group study,low,moderate,54.8
1206,21,other,ba,2.33,48.6,yes,8.7,average,self-study,high,moderate,29.7
1207,20,female,b.com,7.47,57.3,yes,5.7,good,coaching,high,moderate,91.9
1208,24,male,diploma,5.08,69.8,yes,8.7,good,coaching,low,hard,72.9
1209,17,male,ba,4.31,86.9,yes,8.2,good,online videos,high,easy,76.0
1210,20,other,bba,0.78,92.3,yes,6.7,average,mixed,low,hard,51.7
1211,20,male,b.com,0.55,86.8,yes,6.1,good,online videos,medium,easy,58.5
1212,19,female,ba,0.51,64.0,yes,8.0,good,online videos,medium,moderate,31.6
1213,20,other,b.sc,7.51,48.1,yes,8.4,poor,online videos,medium,moderate,77.0
1214,24,other,b.tech,7.66,77.7,yes,5.2,poor,mixed,medium,moderate,71.3
1215,17,male,b.sc,5.94,99.4,yes,9.9,poor,mixed,medium,moderate,84.3
1216,18,female,b.sc,7.31,94.9,yes,7.4,poor,self-study,medium,moderate,76.5
1217,20,female,bca,1.34,79.6,yes,7.3,good,mixed,medium,moderate,54.9
1218,18,female,bca,1.32,64.9,no,5.3,poor,coaching,high,hard,54.8
1219,18,female,ba,4.39,63.3,yes,9.1,poor,self-study,low,moderate,38.8
1220,19,other,b.tech,6.81,86.7,yes,5.9,poor,self-study,medium,hard,76.7
1221,18,female,b.com,7.0,67.4,no,9.1,poor,coaching,high,hard,82.9
1222,21,male,ba,5.28,72.7,yes,4.2,good,mixed,high,easy,88.0
1223,19,female,b.com,6.04,88.3,yes,4.2,good,group study,medium,moderate,66.2
1224,23,male,b.com,3.99,99.4,yes,5.4,good,self-study,high,moderate,80.6
1225,24,female,b.tech,7.74,60.1,yes,6.3,good,coaching,medium,easy,94.7
1226,23,other,b.tech,7.63,81.7,yes,7.6,poor,group study,high,easy,93.4
1227,24,other,bca,0.14,67.6,yes,8.3,average,group study,medium,moderate,31.8
1228,24,male,bba,6.93,96.9,yes,9.9,good,mixed,medium,easy,100.0
1229,21,female,b.com,1.59,85.7,yes,8.9,good,coaching,low,easy,68.8
1230,21,other,b.sc,6.38,43.1,yes,8.6,average,self-study,high,moderate,62.6
1231,19,female,b.com,6.39,82.7,yes,6.3,good,online videos,low,moderate,89.4
1232,21,male,ba,0.64,84.0,yes,9.0,good,group study,medium,easy,49.7
1233,24,other,bba,7.9,92.6,yes,9.1,average,self-study,high,easy,100.0
1234,21,female,b.com,5.35,61.2,yes,9.5,poor,coaching,medium,moderate,65.1
1235,20,male,diploma,1.1,61.0,yes,9.8,average,group study,low,easy,43.8
1236,24,male,b.tech,1.42,98.2,yes,4.5,good,coaching,low,moderate,55.9
1237,22,male,bba,5.74,67.2,yes,5.6,poor,online videos,medium,moderate,60.2
1238,17,male,diploma,1.38,94.4,yes,9.5,good,online videos,medium,moderate,46.5
1239,21,female,bca,3.73,67.6,yes,9.0,good,group study,low,hard,62.3
1240,21,male,ba,4.88,82.7,yes,7.3,average,mixed,low,moderate,59.4
1241,21,female,b.tech,2.64,62.8,yes,9.6,poor,group study,medium,easy,36.6
1242,24,male,b.com,2.94,52.3,yes,6.4,good,mixed,low,moderate,59.7
1243,19,female,diploma,4.84,44.4,yes,6.7,good,coaching,low,easy,61.8
1244,23,other,bca,7.33,86.3,yes,4.7,poor,coaching,medium,hard,79.3
1245,21,male,ba,4.06,98.0,yes,7.3,good,mixed,medium,moderate,72.4
1246,20,male,bba,0.17,66.2,no,6.1,average,coaching,low,moderate,37.2
1247,19,female,bca,4.69,63.5,yes,6.2,poor,group study,low,moderate,60.0
1248,21,female,diploma,6.08,88.1,yes,7.3,good,group study,low,moderate,81.7
1249,21,male,diploma,7.02,72.0,yes,6.3,poor,group study,high,hard,73.5
1250,17,male,diploma,2.57,64.2,yes,4.5,good,mixed,low,moderate,47.2
1251,23,male,ba,6.69,66.8,yes,5.0,good,mixed,low,moderate,61.8
1252,22,other,b.tech,7.47,64.0,yes,7.9,good,coaching,medium,moderate,83.1
1253,18,other,b.tech,7.34,92.7,yes,9.6,average,self-study,low,moderate,85.5
1254,24,other,b.sc,3.45,84.1,yes,4.1,poor,coaching,low,moderate,60.5
1255,23,male,bca,3.57,64.2,yes,4.1,poor,coaching,high,moderate,44.6
1256,20,male,b.com,0.08,51.0,yes,8.9,poor,online videos,medium,easy,29.1
1257,17,male,bca,5.36,50.5,yes,9.8,good,self-study,high,moderate,50.3
1258,17,other,b.sc,0.9,81.7,yes,4.4,average,self-study,low,moderate,28.2
1259,18,female,diploma,5.44,67.8,yes,7.3,good,online videos,low,moderate,79.0
1260,24,male,bca,3.51,61.1,yes,8.7,good,self-study,low,moderate,50.6
1261,22,other,bca,1.11,79.5,yes,7.6,good,self-study,medium,moderate,55.8
1262,23,female,b.sc,2.17,40.6,no,7.4,poor,mixed,low,moderate,38.7
1263,21,female,diploma,1.99,49.0,yes,5.2,good,online videos,low,moderate,41.3
1264,23,other,bba,4.74,40.6,yes,4.6,average,mixed,medium,moderate,54.4
1265,19,other,bca,5.61,88.4,yes,5.2,average,coaching,low,moderate,89.0
1266,19,other,b.tech,1.07,43.9,yes,7.9,average,online videos,low,moderate,27.5
